tau,w_c,v_c
  8.9600000000000002E-01,  1.0693905670717209E-01, -1.7765745073796535E-01
  9.0400000000000003E-01,  1.0523646237847459E-01, -2.4018571670600805E-01
  9.1200000000000003E-01,  1.0345183381881919E-01, -1.9086325437926480E-01
  9.2000000000000004E-01,  1.0202371670543926E-01, -1.8744674820593940E-01
  9.2800000000000005E-01,  1.0046180884336886E-01, -1.7707884009045441E-01
  9.3600000000000005E-01,  9.9503204191668276E-02, -7.1128014421849906E-02
  9.4399999999999995E-01,  9.8876945126496099E-02, -1.0673329407924995E-01
  9.5199999999999996E-01,  9.7873007403719667E-02, -1.2537985374527999E-01
  9.5999999999999996E-01,  9.6960694473037401E-02, -1.1387544756181932E-01
  9.6799999999999997E-01,  9.5877867940723574E-02, -1.5775164978074188E-01
  9.7599999999999998E-01,  9.4485395755041224E-02, -1.9205599830058342E-01
  9.8399999999999999E-01,  9.2732042310330748E-02, -2.4405098702604960E-01
  9.9199999999999999E-01,  9.0825984624594860E-02, -2.1048609542045013E-01
  1.0000000000000000E+00,  8.9584032222504772E-02, -1.0029306588051941E-01
  1.0080000000000000E+00,  8.9001530507835408E-02, -6.7675167948376913E-02
  1.0160000000000000E+00,  8.8212544958860120E-02, -1.3329591642196206E-01
  1.0240000000000000E+00,  8.7081789535306112E-02, -1.3050913738000569E-01
  1.0320000000000000E+00,  8.6171458770687936E-02, -1.1151542993716752E-01
  1.0400000000000000E+00,  8.5161013028856383E-02, -1.2808030029731782E-01
  1.0480000000000000E+00,  8.4516408342136543E-02, -2.0749128708578771E-02
  1.0560000000000000E+00,  8.4561253382414117E-02,  1.2345931118388446E-03
  1.0640000000000001E+00,  8.4352715632344699E-02, -4.1409892460886000E-02
  1.0720000000000001E+00,  8.4057200342697855E-02, -4.0076412319848473E-02
  1.0800000000000001E+00,  8.3486656528034484E-02, -1.0355509599281000E-01
  1.0880000000000001E+00,  8.2666772676457986E-02, -8.4411907038945216E-02
  1.0960000000000001E+00,  8.2104083768438460E-02, -6.9564563266264645E-02
  1.1040000000000001E+00,  8.1553825881568662E-02, -5.1445998872748790E-02
  1.1120000000000001E+00,  8.1441971363179114E-02,  1.1517960493071456E-02
  1.1200000000000001E+00,  8.1304635016214669E-02, -6.9215588528661651E-02
  1.1279999999999999E+00,  8.0277895152917736E-02, -1.7542021145081491E-01
  1.1359999999999999E+00,  7.8741319050560074E-02, -1.9413234805019780E-01
  1.1439999999999999E+00,  7.7339138391095158E-02, -1.5567736980571314E-01
  1.1519999999999999E+00,  7.6047279806702367E-02, -1.8458031066909625E-01
  1.1599999999999999E+00,  7.4380191480853730E-02, -2.1128669567742336E-01
  1.1679999999999999E+00,  7.3019833719462954E-02, -1.2305276067921420E-01
  1.1759999999999999E+00,  7.2238507265363613E-02, -8.4123637110801328E-02
  1.1839999999999999E+00,  7.1673167106519206E-02, -5.3840667055867479E-02
  1.1919999999999999E+00,  7.1225359686578157E-02, -7.7063842935345281E-02
  1.2000000000000000E+00,  7.0338204058336892E-02, -1.3114086085326632E-01
  1.2080000000000000E+00,  6.9390833124411452E-02, -1.0332075787119729E-01
  1.2160000000000000E+00,  6.8489875550525450E-02, -1.3310918720258258E-01
  1.2240000000000000E+00,  6.7331598137039927E-02, -1.4331649450352688E-01
  1.2320000000000000E+00,  6.6251949189253631E-02, -1.3550958339287864E-01
  1.2400000000000000E+00,  6.5027826614796294E-02, -1.7076388832957592E-01
  1.2480000000000000E+00,  6.3589960727603284E-02, -1.8703722993372959E-01
  1.2560000000000000E+00,  6.1966741157887584E-02, -2.2563275777848477E-01
  1.2640000000000000E+00,  5.9911252617136611E-02, -2.8720758417346892E-01
  1.2720000000000000E+00,  5.7560436304898488E-02, -2.7699712630109335E-01
  1.2800000000000000E+00,  5.5811413379585652E-02, -1.5925992362331068E-01
  1.2880000000000000E+00,  5.4582081290425216E-02, -1.8673140801715374E-01
  1.2960000000000000E+00,  5.2569448054458671E-02, -3.0228882164785481E-01
  1.3040000000000000E+00,  5.0069738926507887E-02, -3.1608074124224983E-01
  1.3120000000000001E+00,  4.7430372435575116E-02, -3.4310253712170985E-01
  1.3200000000000001E+00,  4.4807343500032508E-02, -3.0065626202730494E-01
  1.3280000000000001E+00,  4.2451219066754017E-02, -3.1206480575119533E-01
  1.3360000000000001E+00,  3.9777888301766852E-02, -3.2855276277131146E-01
  1.3440000000000001E+00,  3.7626168749794665E-02, -2.1103439836143284E-01
  1.3520000000000001E+00,  3.5924681034806498E-02, -2.4389808715515779E-01
  1.3600000000000001E+00,  3.3758117194654193E-02, -2.7138477604154992E-01
  1.3680000000000001E+00,  3.1840750416492584E-02, -2.1440071341371217E-01
  1.3759999999999999E+00,  3.0088639808665805E-02, -2.3123929210213187E-01
  1.3839999999999999E+00,  2.8190572358102288E-02, -2.3844708876126075E-01
  1.3919999999999999E+00,  2.6267097825686158E-02, -2.4413366559093591E-01
  1.3999999999999999E+00,  2.4330744359201299E-02, -2.3366327453776900E-01
  1.4079999999999999E+00,  2.2633809220395752E-02, -1.8251443369453255E-01
  1.4159999999999999E+00,  2.1572396247888120E-02, -7.5721767899670667E-02
  1.4239999999999999E+00,  2.1350287646699724E-02,  5.9332217678202872E-03
  1.4319999999999999E+00,  2.1496026431897707E-02,  2.8887659873735878E-02
  1.4399999999999999E+00,  2.1816534113425334E-02,  4.6393095802049589E-02
  1.4480000000000000E+00,  2.2173139044469655E-02,  5.0397025186856369E-02
  1.4560000000000000E+00,  2.2918378188336135E-02,  1.4840366507015806E-01
  1.4640000000000000E+00,  2.4324752232938091E-02,  1.6972952725213969E-01
  1.4720000000000000E+00,  2.5301778040158370E-02,  7.9830978737258140E-02
  1.4800000000000000E+00,  2.5856065944487975E-02,  6.4281344652344391E-02
  1.4880000000000000E+00,  2.6136387068419545E-02, -9.8627403615125699E-03
  1.4960000000000000E+00,  2.5690578037472996E-02, -8.9023080751629874E-02
  1.5040000000000000E+00,  2.4892995999881328E-02, -1.0398669402711430E-01
  1.5120000000000000E+00,  2.4143297039252914E-02, -7.3689792586733971E-02
  1.5200000000000000E+00,  2.3780043008400677E-02, -2.2727459863740741E-02
  1.5280000000000000E+00,  2.3656212140630010E-02, -1.0230282728025942E-02
  1.5360000000000000E+00,  2.3634346464810885E-02,  1.5288651795323811E-04
  1.5440000000000000E+00,  2.3476987215239702E-02, -4.6448689794359704E-02
  1.5520000000000000E+00,  2.3027499630092357E-02, -4.9930486567505948E-02
  1.5600000000000001E+00,  2.2715339730242035E-02, -4.1714309952547587E-02
  1.5680000000000001E+00,  2.2207681793097525E-02, -7.9103522653215061E-02
  1.5760000000000001E+00,  2.1614581426744862E-02, -7.1407928422654574E-02
  1.5840000000000001E+00,  2.0841533787794533E-02, -1.2732574874726710E-01
  1.5920000000000001E+00,  1.9910425409331692E-02, -7.3379596207399284E-02
  1.6000000000000001E+00,  1.9721064253196731E-02, -7.8478619489190087E-03
  1.6080000000000001E+00,  1.9179466068011974E-02, -1.3896559816675463E-01
  1.6160000000000001E+00,  1.7838464728069811E-02, -1.6457088334178616E-01
  1.6240000000000001E+00,  1.6758088886842409E-02, -1.0991289033861232E-01
  1.6319999999999999E+00,  1.6015709832632698E-02, -7.3385381188394064E-02
  1.6399999999999999E+00,  1.5604754011591296E-02, -3.3902961936678203E-02
  1.6479999999999999E+00,  1.5398218838993206E-02, -1.6087171774004511E-02
  1.6559999999999999E+00,  1.5445991026193632E-02,  3.1180654254711684E-02
  1.6639999999999999E+00,  1.5800664103782947E-02,  4.4872182363322535E-02
  1.6719999999999999E+00,  1.5981469657685043E-02, -4.9777478333267317E-03
  1.6799999999999999E+00,  1.5841232101632519E-02, -7.8438375695445983E-03
  1.6879999999999999E+00,  1.6270153648202411E-02,  1.2849596101916530E-01
  1.6960000000000000E+00,  1.7684920193214625E-02,  1.9410184696822613E-01
