xi,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21,mode_22,mode_23,mode_24
  1.5500000000000000E+00, -3.5779695553830659E-01,  1.5322600510028220E-01, -2.1889543758270097E-01,  5.1817644580590616E-01, -7.0930708804317899E-01, -2.2049133599831428E-01,  6.6394998675074390E-01, -2.9673428448504047E-01, -1.9611902165779035E-01, -4.3973483776334948E-01,  1.1244709184875906E-01, -4.0203994049329916E-01,  7.1980986447573947E-01,  2.1977934430569371E-01, -5.1137991557287310E-01,  1.3386190806914500E-01,  4.3522125046564614E-01,  5.3015256813574763E-01, -2.4105037503859494E-01,  3.9256428612032557E-01, -6.0380331715471436E-01, -1.1093402679284263E-01,  4.2840906509984150E-01, -1.4010481193603345E-02
  1.6000000000000001E+00, -3.7854651043927073E-01,  1.5678990207102744E-01, -2.5466464724220589E-01,  5.4137279685738837E-01, -6.8316889946182069E-01, -1.4985745259447195E-01,  6.2815502869550521E-01, -1.7780620753326212E-01, -4.2839634986447978E-01, -5.0136582642396332E-01,  3.1582011648981223E-01, -4.5267735893562822E-01,  4.8556947875661116E-01, -4.9688343624108240E-02, -3.4496333325451173E-01, -1.0831673319581686E-01,  7.5239907441391862E-01,  5.2293157292424031E-01, -4.8947668814701112E-01,  3.3864060221554876E-01, -3.0877408726501736E-02,  3.4408677495151291E-01,  5.2278880641240921E-02,  2.9263662381641498E-01
  1.6500000000000001E+00, -3.9702626504268385E-01,  1.5899876365771906E-01, -2.9050144772119013E-01,  5.5540974645750973E-01, -6.3776077739696257E-01, -7.4134166048629199E-02,  5.6413890060695937E-01, -4.9934751244057184E-02, -6.1391504220799098E-01, -5.0179792068927553E-01,  4.7303187492406035E-01, -4.2343601325601338E-01,  1.3723090382784889E-01, -3.0834160291667617E-01, -7.7420685859817498E-02, -3.1613729128840912E-01,  7.6691601121930919E-01,  2.8648179417818309E-01, -5.0684423618738550E-01,  1.0630986775499474E-01,  5.6075213842369132E-01,  5.7517830909922329E-01, -3.5970832021497157E-01,  3.7852463259790897E-01
  1.7000000000000002E+00, -4.1317747605011551E-01,  1.5995066306586955E-01, -3.2585248004001333E-01,  5.5959067093368597E-01, -5.7433155329282226E-01,  2.7653832449114567E-03,  4.7525123893879700E-01,  7.6575945034910886E-02, -7.3293967450399011E-01, -4.4222010324235100E-01,  5.6210351449621376E-01, -3.2119926927953313E-01, -2.4398964194174155E-01, -4.9019145914841317E-01,  2.1471876064034207E-01, -4.2166705672978388E-01,  4.7269424536563531E-01, -7.7308741830768635E-02, -2.8433627672013601E-01, -1.8335065275275553E-01,  8.1016222749394595E-01,  4.3157632891826425E-01, -5.2248208605795765E-01,  1.7849322939926920E-01
  1.7500000000000000E+00, -4.2694554408842428E-01,  1.5974746304535539E-01, -3.6018273454098620E-01,  5.5338541335665636E-01, -4.9472408088971553E-01,  7.6794791995679845E-02,  3.6645109730758041E-01,  1.9113582524797931E-01, -7.7298585044753354E-01, -3.3218918603393693E-01,  5.7146935866584547E-01, -1.6680184938399759E-01, -5.6939459315588015E-01, -5.5032776599518429E-01,  4.4850870027628315E-01, -3.9198473931186045E-01, -1.2390016583583510E-02, -4.1219491048850215E-01,  7.4439475482549089E-02, -3.8007107475306817E-01,  5.6495557967782173E-01,  4.7414339087933199E-03, -3.2273891827838319E-01, -1.5792929121180663E-01
  1.8000000000000000E+00, -4.3828018235638760E-01,  1.5849483901287528E-01, -3.9297777880038548E-01,  5.3643151379769882E-01, -4.0131616494383365E-01,  1.4391177894884738E-01,  2.4405385946139771E-01,  2.8357995672839131E-01, -7.3022683315157111E-01, -1.8864320538637244E-01,  5.0194245813485872E-01,  8.3205091059411641E-03, -7.6361289587053649E-01, -4.7735540206727334E-01,  5.5894381884122091E-01, -2.4089152043069928E-01, -4.9407704745945086E-01, -5.7678668466022298E-01,  4.0287415426518786E-01, -3.8422813043243109E-01, -2.6004436990644031E-02, -4.3228053464310884E-01,  1.0337821383923554E-01, -3.8014781249710933E-01
  1.8500000000000001E+00, -4.4713556038070351E-01,  1.5630227462286678E-01, -4.2374592126248162E-01,  5.0853232581960572E-01, -2.9694643335989646E-01,  2.0021039803717439E-01,  1.1542157362517733E-01,  3.4481185548798887E-01, -6.0996755945086034E-01, -3.4077298074981860E-02,  3.6692889608214935E-01,  1.6719088566234541E-01, -7.8236454631599950E-01, -2.9754791364668975E-01,  5.1847279967850179E-01, -2.5705712311295249E-02, -7.8015562111538983E-01, -5.0834558925061546E-01,  5.5106682105427085E-01, -2.0118961915215791E-01, -6.0383239465556360E-01, -6.0500639421940738E-01,  4.6586275033808039E-01, -3.2769127757451272E-01
  1.9000000000000001E+00, -4.5347042235616825E-01,  1.5328303230879414E-01, -4.5202027811548096E-01,  4.6965191014870489E-01, -1.8482736638605279E-01,  2.4204083383491790E-01, -1.1385289745561274E-02,  3.6732176857250087E-01, -4.2614095825217202E-01,  1.0583491666864958E-01,  1.9090999169290543E-01,  2.7302272310460624E-01, -6.2307005095290469E-01, -6.9955247795901454E-02,  3.4626169331654716E-01,  1.6930593685953982E-01, -7.5836561782738199E-01, -2.5437046658963358E-01,  4.5889780238448130E-01,  5.7161189311464224E-02, -8.1950215510109659E-01, -4.2236333069721121E-01,  5.2479269156052444E-01, -5.7048204200766776E-02
  1.9500000000000002E+00, -4.5724817959147873E-01,  1.4955410140758160E-01, -4.7736071236520383E-01,  4.1990664615866902E-01, -6.8448125767784557E-02,  2.6610977539000452E-01, -1.2797366514362135E-01,  3.4552855663491805E-01, -1.9988937235306814E-01,  2.0479844360212437E-01,  6.4890732294554422E-03,  2.9440113984005345E-01, -3.2589081284389027E-01,  1.2571867255317476E-01,  1.0493149435112925E-01,  2.5647384232861692E-01, -4.4271989755030833E-01,  3.9805085741513389E-02,  1.8930186184669257E-01,  2.2202485602890470E-01, -5.4897222373735499E-01, -5.1119221669498956E-02,  2.6443338459504762E-01,  1.8625895766483860E-01
  2.0000000000000000E+00, -4.5843697662976124E-01,  1.4523612656999094E-01, -4.9935561562826414E-01,  3.5955354994215954E-01,  4.8529824972813405E-02,  2.6955482031550565E-01, -2.2597831362620974E-01,  2.7590269653720817E-01,  4.2604171226187607E-02,  2.3820292554370942E-01, -1.4945609999460691E-01,  2.0869540522369462E-01,  3.4936183399103100E-02,  2.0440101816663592E-01, -1.1360025131775986E-01,  1.6584315827134449E-01,  2.9866165482582994E-02,  1.7809355394254450E-01, -9.1400553032996767E-02,  1.3714551774226474E-01,  2.6090221112319938E-02,  1.5726773603931510E-01, -7.6362215740481104E-02,  1.1672548125395402E-01
